condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
sham	1.0	103	3	Torte	Muffin	2110.0	7.65491704784832	0.4404982924461365	0.549898097368318
pIFG	1.5	002	3	Traube	Frucht	1470.71429204598	7.294183185372475	0.4281916171312332	0.4152596361570349
aIFG	0.5	003	2	Traube	Beeren	1447.09957362313	7.2780073368956835	0.44972091168165207	0.376609536796191
aIFG	0.5	004	3	Traube	Wein	1210.95238939465	7.099987883179994	0.4002157598733902	0.44565961927988507
sham	1.0	005	2	Traube	Aehre	2150.0	7.67368812926773	0.2927157748490572	0.2466541784422076
sham	1.0	006	1	Traube	Erdbeere	3256.66666666666	8.088766471670723	0.4241592809557915	0.3360054229944385
aIFG	0.5	007	2	Traube	Orange	1787.15151891216	7.488937694263943	0.31448712572455406	0.2511675847960394
pIFG	1.5	008	3	Traube	Birne	2430.0	7.796057974316123	0.384211927652359	0.2654336193090796
pIFG	1.5	009	1	Traube	Beere	2296.66666666666	7.739649394217539	0.44133511185646057	0.32569055328318297
sham	1.0	010	2	Traube	Apfel	3534.64068220297	8.170649801570127	0.3537341393530369	0.2836152039848403
aIFG	0.5	011	3	Traube	Apfel	3241.81817375965	8.084198037439666	0.3537341393530369	0.2836152039848403
pIFG	1.5	012	1	Traube	Apfel	1872.16450523441	7.535384528397426	0.3537341393530369	0.2836152039848403
aIFG	0.5	013	2	Traube	Apfel	3256.66666666666	8.088766471670723	0.3537341393530369	0.2836152039848403
pIFG	1.5	014	3	Traube	Pflaume	3322.10821639733	8.108655833697744	0.3282287698239088	0.29526277524349576
sham	1.0	016	1	Traube	Wein	2075.25108367091	7.63831918286399	0.4002157598733902	0.44565961927988507
aIFG	0.5	017	3	Traube	Wein	1976.06926629495	7.589370858619058	0.4002157598733902	0.44565961927988507
sham	1.0	018	2	Traube	Ananas	1630.0	7.396948602621014	0.354897178709507	0.30740782134168354
pIFG	1.5	020	3	Traube	Beere	2070.0	7.635786861395584	0.44133511185646057	0.32569055328318297
sham	1.0	021	1	Traube	Banane	2376.66666666666	7.773874893609926	0.335041768848896	0.24972166232835225
